CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_IN_INSTANCE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
76461128010538,52865805010538,2001,23,3,958,1,150,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461129010538,52865805010538,2001,23,3,958,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461131010538,52865805010538,2001,23,3,958,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461130010538,52865805010538,2001,23,3,958,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461133010538,52865805010538,2001,23,3,958,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461132010538,52865805010538,2001,23,3,958,3,150,1,2001,1,0.0,24.029981273401,5,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461134010538,52865805010538,2001,23,3,958,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461135010538,52865805010538,2001,23,3,958,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461104010538,52898510010538,2001,23,3,1392,1,150,1,2001,1,0.0,24.475293665245,20,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461105010538,52898510010538,2001,23,3,1392,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
