CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
76432577010538,52897435010538,2001,23,3,1418,150,3,2,2001,1,5.8,1.4,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432581010538,52897435010538,2001,23,3,1418,150,4,2,2001,1,7.6,0.8,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432571010538,52897435010538,2001,23,3,1418,270,1,2,2001,1,5.4,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432583010538,52897435010538,2001,23,3,1418,270,4,2,2001,1,5.4,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432467010538,52865942010538,2001,23,3,1878,30,2,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432471010538,52865942010538,2001,23,3,1878,30,3,2,2001,1,3.2,0.4,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432461010538,52865942010538,2001,23,3,1878,150,1,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432465010538,52865942010538,2001,23,3,1878,150,2,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432469010538,52865942010538,2001,23,3,1878,150,3,2,2001,1,5.4,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432473010538,52865942010538,2001,23,3,1878,150,4,2,2001,1,2.9,0.7,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432463010538,52865942010538,2001,23,3,1878,270,1,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432475010538,52865942010538,2001,23,3,1878,270,4,2,2001,1,1.2,1.2,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432283010538,52866238010538,2001,23,3,1943,30,2,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432287010538,52866238010538,2001,23,3,1943,30,3,2,2001,1,3.6,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
